Player,Team,Country,Team Nationality,Goals,Penalty Goals,Team Total Goals
Ronie Carrillo,El Nacional,Ecuador,Ecuador,2,1,12
Erick Castillo,Aucas,Ecuador,Ecuador,2,0,6
Diego Churín,Cerro Porteño,Argentina,Paraguay,2,0,10
Juan Esquivel,Patronato de Paraná,Argentina,Argentina,2,0,6
Jimer Fory,Deportivo Pereira,Colombia,Colombia,2,0,7
Francisco Fydriszewski,Barcelona,Argentina,Ecuador,2,0,7
Gabriel Barbosa,Flamengo RJ,Brasil,Brasil,2,0,13
Guilherme Augusto,Fortaleza,Brasil,Brasil,2,0,5
Leonardo Heredia,Argentinos Juniors,Argentina,Argentina,2,0,8
Ignácio,Sporting Cristal,Brasil,Perú,2,0,14
Mateo Levato,Patronato de Paraná,Argentina,Argentina,2,0,6
Jhilmar Lora,Sporting Cristal,Perú,Perú,2,0,14
Juan Lucero,Fortaleza,Argentina,Brasil,2,0,5
Mathías Martínez,Club Nacional,Paraguay,Uruguay,2,0,7
Fabián Noguera,Nacional,Argentina,Uruguay,2,0,11
Jorge Ordóñez,El Nacional,Ecuador,Ecuador,2,0,12
Rómulo Otero,Aucas,Venezuela,Ecuador,2,0,6
Byron Palacios,El Nacional,Ecuador,Ecuador,2,0,12
Samuel Xavier,Fluminense RJ,Brasil,Brasil,2,0,24
Júnior Sornoza,Independiente del Valle,Ecuador,Ecuador,2,0,11
Diego Torres,Club Olimpia,Paraguay,Paraguay,2,0,17
Iván Torres,Club Olimpia,Paraguay,Paraguay,2,0,17
Luis Vázquez,Boca Juniors,Argentina,Argentina,2,0,13
Victor Hugo,Flamengo RJ,Brasil,Brasil,2,0,13
Gabriel Villamil,Bolívar,Bolivia,Bolivia,2,0,13
Marcelo Weigandt,Boca Juniors,Argentina,Argentina,2,0,13
77. Mathías Acuña,Boston River,Uruguay,Uruguay,1,0,4
Adson,Corinthians SP,Brasil,Brasil,1,0,7
Gustavo Aguilar,Club Nacional,Paraguay,Uruguay,1,0,7
Alexandre Alemão,Internacional,Brasil,Brasil,1,0,19
Julián Alfaro,CD Magallanes,Chile,Chile,1,0,7
André,Fluminense RJ,Brasil,Brasil,1,0,24
Larry Angulo,Deportivo Pereira,Colombia,Colombia,1,0,7
Gustavo Asprilla,El Nacional,Ecuador,Ecuador,1,0,12
Gabriel Ávalos,Argentinos Juniors,Paraguay,Argentina,1,0,8
Fabián Balbuena,Corinthians SP,Paraguay,Brasil,1,0,7
Danovis Banguero,Atlético Nacional,Colombia,Colombia,1,0,12
Valentín Barco,Boca Juniors,Argentina,Argentina,1,0,13
Antonio Bareiro,Libertad,Paraguay,Paraguay,1,0,5
Marcos Bolados,Colo-Colo,Chile,Chile,1,0,3
Cristian Bordacahar,FBC Melgar,Argentina,Perú,1,0,9
Miguel Borja,River Plate,Colombia,Argentina,1,0,14
Feliciano Brizuela,Club Nacional,Paraguay,Uruguay,1,0,7
Gustavo Caballero,Club Nacional,Paraguay,Uruguay,1,0,7
Andrés Cadavid,Independiente Medellín,Colombia,Colombia,1,0,16
Diber Cambindo,Independiente Medellín,Colombia,Colombia,1,0,16
Luis Cangá,Aucas,Ecuador,Ecuador,1,0,6
Federico Carrizo,Cerro Porteño,Argentina,Paraguay,1,0,10
Gonzalo Castillo,The Strongest,Uruguay,Bolivia,1,0,5
Cristian Castro,Atlético Nacional,Colombia,Colombia,1,0,12
Leonardo Castro,Millonarios,Colombia,Colombia,1,0,4
Daniel Cataño,Millonarios,Colombia,Colombia,1,0,4
Édinson Cavani,Boca Juniors,Uruguay,Argentina,1,0,13
Walter Chala,El Nacional,Ecuador,Ecuador,1,0,12
Lucas Chávez,Bolívar,Bolivia,Bolivia,1,0,13
Christian,Athletico Paranaense,Brasil,Brasil,1,0,12
Matías Cóccaro,Huracán,Uruguay,Argentina,1,1,1
Janner Corozo,Barcelona,Ecuador,Ecuador,1,0,7
Leonard Costa,Boston River,Uruguay,Uruguay,1,0,4
Gustavo Cristaldo,Nacional Potosí,Paraguay,Bolivia,1,0,2
Jhamir D'Arrigo,FBC Melgar,Perú,Perú,1,0,9
Bruno Damiani,Nacional,Uruguay,Uruguay,1,0,11
Nicolás de la Cruz,River Plate,Uruguay,Argentina,1,0,14
Carlos de Pena,Internacional,Uruguay,Brasil,1,0,19
Ismael Díaz,Universidad Catolica,Panamá,Chile,1,1,1
Jefferson Duque,Atlético Nacional,Colombia,Colombia,1,0,12
Edenilson,Atlético Mineiro,Brasil,Brasil,1,0,14
Endrick,Palmeiras,Brasil,Brasil,1,0,22
Erick,Athletico Paranaense,Brasil,Brasil,1,0,12
Carlos Escobar,Sport Huancayo,Chile,Perú,1,0,3
Lorenzo Faravelli,Independiente del Valle,Argentina,Ecuador,1,0,11
Felipe Augusto,Corinthians SP,Brasil,Brasil,1,0,7
Fernandinho,Athletico Paranaense,Brasil,Brasil,1,1,12
Marcelo Filla,CD Magallanes,Chile,Chile,1,0,7
David Fleitas,Club Nacional,Paraguay,Uruguay,1,0,7
Felipe Flores,CD Magallanes,Chile,Chile,1,0,7
Fernando Gaibor,Barcelona,Ecuador,Ecuador,1,0,7
Mateo Gamarra,Club Olimpia,Paraguay,Paraguay,1,0,17
Emmanuel Gigliotti,Nacional,Argentina,Uruguay,1,0,11
Leonardo Gil,Colo-Colo,Argentina,Chile,1,1,3
Francisco Ginella,Nacional,Uruguay,Uruguay,1,0,11
Diego Gómez,Libertad,Paraguay,Paraguay,1,0,5
Emiliano Gómez,Boston River,Uruguay,Uruguay,1,0,4
Cristian González,Patronato de Paraná,Argentina,Argentina,1,0,6
Francisco González Metilli,Argentinos Juniors,Argentina,Argentina,1,0,8
Joao Grimaldo,Sporting Cristal,Perú,Perú,1,0,14
Paolo Guerrero,Racing Club,Perú,Argentina,1,0,16
Gabriel Hauche,Racing Club,Argentina,Argentina,1,0,16
Jorge Henríquez,Ñublense,Chile,Chile,1,0,3
Ronal Huaccha,Sport Huancayo,Perú,Perú,1,0,3
Hugo Mallo,Internacional,España,Brasil,1,0,19
Andrés Ibargüen,Independiente Medellín,Colombia,Colombia,1,0,16
Luis Ibérico,FBC Melgar,Perú,Perú,1,0,9
Madison Julio,El Nacional,Ecuador,Ecuador,1,0,12
Léo Pereira,Flamengo RJ,Brasil,Brasil,1,0,13
Daniel Londoño,Independiente Medellín,Colombia,Colombia,1,0,16
José Manuel López,Palmeiras,Argentina,Brasil,1,0,22
César Magallán,Zamora FC,Venezuela,Venezuela,1,0,1
Jhon Marchán,Metropolitanos FC,Venezuela,Venezuela,1,0,3
Marcos Rocha,Palmeiras,Brasil,Brasil,1,0,22
David Martínez,Monagas,Venezuela,Venezuela,1,0,3
Roger Martínez,Racing Club,Colombia,Argentina,1,0,16
Matheus Araújo,Corinthians SP,Brasil,Brasil,1,0,7
Matheus França,Flamengo RJ,Brasil,Brasil,1,0,13
Mauricio,Internacional,Brasil,Brasil,1,0,19
Mayke,Palmeiras,Brasil,Brasil,1,0,22
Lorenzo Melgarejo,Libertad,Paraguay,Paraguay,1,0,5
Miguel Merentiel,Boca Juniors,Uruguay,Argentina,1,0,13
Norman Micolta,El Nacional,Ecuador,Ecuador,1,0,12
Donald Millán,Sport Huancayo,Colombia,Perú,1,0,3
Alan Minda,Independiente del Valle,Ecuador,Ecuador,1,0,11
Armenia,Independiente Medellín,Deportivo Pereira,Colombia,1,0,16
Miguel Monsalve,Independiente Medellín,Colombia,Colombia,1,0,16
Robert Morales,Cerro Porteño,Paraguay,Paraguay,1,0,10
Aníbal Moreno,Racing Club,Argentina,Argentina,1,0,16
Víctor Moreno,Independiente Medellín,Colombia,Colombia,1,0,16
Juan Ignacio Nardoni,Racing Club,Argentina,Argentina,1,0,16
Edanyilber Navas,Monagas,Venezuela,Venezuela,1,1,3
Nino,Fluminense RJ,Brasil,Brasil,1,0,24
Cristhian Ocampos,Club Nacional,Paraguay,Uruguay,1,0,7
Agustín Ojeda,Racing Club,Argentina,Argentina,1,0,16
Sergio Ojeda,Patronato de Paraná,Argentina,Argentina,1,0,6
Roberto Ordóñez,Aucas,Ecuador,Ecuador,1,0,6
Nicolás Oroz,Racing Club,Argentina,Argentina,1,0,16
Charlis Ortiz,Metropolitanos FC,Venezuela,Venezuela,1,0,3
Cristian Ortíz,Barcelona,Argentina,Ecuador,1,0,7
Richard Ortiz,Club Olimpia,Paraguay,Paraguay,1,0,17
Pablo Hervías,Bolívar,España,Bolivia,1,0,13
Carlos Palacios,Colo-Colo,Chile,Chile,1,1,3
Jerry Parrales,El Nacional,Ecuador,Ecuador,1,0,12
Juan Patiño,Cerro Porteño,Paraguay,Paraguay,1,0,10
Gastón Pereiro,Nacional,Uruguay,Uruguay,1,0,11
Miguel Pernía,Carabobo FC,Venezuela,Venezuela,1,0,1
Fernando Piñero,CD Magallanes,Argentina,Chile,1,0,7
Diego Polenta,Nacional,Uruguay,Uruguay,1,0,11
Martín Prost,Nacional Potosí,Argentina,Bolivia,1,0,2
Déinner Quiñones,Independiente Medellín,Colombia,Colombia,1,0,16
Rafael Navarro,Palmeiras,Brasil,Brasil,1,0,22
Carlos Ramirez,Deportivo Pereira,Colombia,Colombia,1,1,7
Ignacio Ramírez,Nacional,Uruguay,Uruguay,1,0,11
Rubén Ramírez,Monagas,Venezuela,Venezuela,1,0,3
Nicolás Reniero,Racing Club,Argentina,Argentina,1,0,16
Ángelo Rodríguez,Deportivo Pereira,Colombia,Colombia,1,0,7
Arley Rodríguez,Deportivo Pereira,Colombia,Colombia,1,0,7
Diego Rodríguez,Nacional,Uruguay,Uruguay,1,0,11
Kevin Rodríguez,Independiente del Valle,Ecuador,Ecuador,1,0,11
Marco Rodríguez,Alianza Lima,Perú,Perú,1,0,3
Patricio Rodriguez,Bolívar,Argentina,Bolivia,1,0,13
Gabriel Rojas,Racing Club,Argentina,Argentina,1,0,16
Robert Rojas,River Plate,Paraguay,Argentina,1,0,14
Maxi Romero,Racing Club,Argentina,Argentina,1,0,16
Rômulo,Athletico Paranaense,Brasil,Brasil,1,0,12
Patricio Rubio,Ñublense,Chile,Chile,1,0,3
Pablo Sabbag,Alianza Lima,Siria,Perú,1,0,3
Juan Danilo Santacruz,Deportivo Pereira,Paraguay,Colombia,1,0,7
Alejandro Silva,Club Olimpia,Uruguay,Paraguay,1,1,17
David Silva,Millonarios,Colombia,Colombia,1,0,4
Maicon Solís,El Nacional,Ecuador,Ecuador,1,0,12
Miguel Terans,Athletico Paranaense,Uruguay,Brasil,1,1,12
Thiago Galhardo,Fortaleza,Brasil,Brasil,1,0,5
Miguel Torrén,Argentinos Juniors,Argentina,Argentina,1,1,8
Alfonso Trezza,Nacional,Uruguay,Uruguay,1,0,11
Fernando Uribe,Millonarios,Colombia,Colombia,1,0,4
Jonathan Urretaviscaya,Boston River,Uruguay,Uruguay,1,0,4
Javier Uzeda,Bolívar,Bolivia,Bolivia,1,0,13
Ever Valencia,Independiente Medellín,Colombia,Colombia,1,0,16
Alan Varela,Boca Juniors,Argentina,Argentina,1,0,13
Freddy Vargas,Metropolitanos FC,Venezuela,Venezuela,1,0,3
Matías Vásquez,CD Magallanes,Chile,Chile,1,0,7
Andrés Vílches,Ñublense,Chile,Chile,1,0,3
Christian Vilches,CD Magallanes,Chile,Chile,1,0,7
Yordi Vilchez,Alianza Lima,Perú,Perú,1,0,3
Sebastián Villa,Boca Juniors,Colombia,Argentina,1,0,13
Lucas Villalba,Argentinos Juniors,Argentina,Argentina,1,0,8
Vitor Bueno,Athletico Paranaense,Brasil,Brasil,1,0,12
Vitor Mendes,Fluminense RJ,Brasil,Brasil,1,0,24
Wesley,Flamengo RJ,Brasil,Brasil,1,0,13
Yoshimar Yotún,Sporting Cristal,Perú,Perú,1,0,14
Diego Zabala,Nacional,Uruguay,Uruguay,1,0,11
Facundo Zabala,Club Olimpia,Argentina,Paraguay,1,0,17
Cristián Zapata,Atlético Nacional,Colombia,Colombia,1,0,12
Yorman Zapata,CD Magallanes,Colombia,Chile,1,0,7
